Name,K,r2,h2
Breast Cancer (Female only),0.1387,0.143,0.31
Prostate Cancer (Male only),0.1257,0.19,0.57
Coronary Artery Disease,0.083,0.05,0.49
Atrial Fibrillation,0.074,0.044,0.5992
Hypertension,0.4685,0.157,0.35
Schizophrenia,0.0087,0.068,0.81
Alzheimer’s Disease,0.111,0.161,0.58
Multiple Sclerosis,0.0069,0.106,0.5
Asthma,0.17,0.039,0.535
Depression (MDD),0.15,0.058,0.4
Rheumatoid Arthritis,0.002,0.137,0.53
Psoriasis,0.029,0.116,0.571
Glaucoma,0.07,0.082,0.37
Osteoporosis,0.34,0.071,0.345
Type 2 diabetes,0.199,0.207,0.26
Inflammatory bowel disease,0.014,0.078,0.75
Type 1 diabetes,0.0015,0.25,0.83
